No,Product Type,Keywords,Primary Style Recommendation,Secondary Styles,Landing Page Pattern,Dashboard Style (if applicable),Color Palette Focus
1,SaaS (General),"saas, software, b2b, platform, cloud, tool",Minimalism & Swiss Style,"Glassmorphism, Flat Design",Hero-Centric Design,Data-Dense Dashboard,Trust blue + orange CTA
2,Micro SaaS,"micro saas, small tool, indie, solo founder",Minimalism & Swiss Style,"Soft UI Evolution, Flat Design",Conversion-Optimized,Executive Dashboard,Indigo + emerald
3,E-commerce,"ecommerce, shopping, retail, store, product",Vibrant & Block-based,"Flat Design, Hero-Centric",Conversion-Optimized,Sales Intelligence Dashboard,Success green + urgency orange
4,E-commerce Luxury,"luxury, premium, high-end, exclusive",Minimalism & Swiss Style,"Glassmorphism, Elegant Serif",Trust & Authority,Executive Dashboard,Premium dark + gold
5,Service Landing Page,"service, agency, consulting, professional",Hero-Centric Design,"Conversion-Optimized, Social Proof",Hero-Centric Design,N/A,Sky blue + warm CTA
6,B2B Service,"b2b, enterprise, corporate, professional",Minimalism & Swiss Style,"Trust & Authority, Hero-Centric",Trust & Authority,Executive Dashboard,Professional navy + blue
7,Financial Dashboard,"fintech, finance, banking, trading",Glassmorphism,"Dark Mode (OLED), Minimalism",Feature-Rich Showcase,Financial Dashboard,Dark bg + green indicators
8,Analytics Dashboard,"analytics, metrics, data, insights",Glassmorphism,"Minimalism, Flat Design",Feature-Rich Showcase,Drill-Down Analytics,Blue data + amber highlights
9,Healthcare App,"healthcare, medical, wellness, health",Soft UI Evolution,"Neumorphism, Claymorphism",Trust & Authority,Executive Dashboard,Calm cyan + health green
10,Educational App,"education, learning, course, tutorial",Claymorphism,"Vibrant & Block-based, Playful Creative",Feature-Rich Showcase,N/A,Playful indigo + energetic orange
11,Creative Agency,"agency, creative, design, portfolio",Brutalism,"Glassmorphism, Vibrant & Block-based",Feature-Rich Showcase,N/A,Bold pink + cyan accent
12,Portfolio/Personal,"portfolio, personal, freelancer, cv",Minimalism & Swiss Style,"Brutalism, Glassmorphism",Storytelling-Driven,N/A,Monochrome + blue accent
13,Gaming,"gaming, esports, entertainment, fun",Retro-Futurism,"3D & Hyperrealism, Neon Glow",Vibrant & Block-based,N/A,Neon purple + rose action
14,Government/Public Service,"government, public, civic, official",Accessible & Ethical,"Minimalism, High Contrast",Trust & Authority,Data-Dense Dashboard,High contrast navy
15,Fintech/Crypto,"crypto, blockchain, web3, nft",Glassmorphism,"Dark Mode (OLED), Aurora UI",Trust & Authority,Real-Time Monitoring,Gold trust + purple tech
16,Social Media App,"social, community, network, sharing",Vibrant & Block-based,"Glassmorphism, Motion-Driven",Social Proof-Focused,User Behavior Analytics,Vibrant rose + blue
17,Productivity Tool,"productivity, efficiency, workflow, task",Minimalism & Swiss Style,"Soft UI Evolution, Flat Design",Feature-Rich Showcase,Data-Dense Dashboard,Teal focus + orange action
18,Design System/Component Library,"design system, components, library",Minimalism & Swiss Style,"Accessible & Ethical, Flat Design",Feature-Rich Showcase,N/A,Indigo brand + hierarchy
19,AI/Chatbot Platform,"ai, chatbot, assistant, copilot",Glassmorphism,"Aurora UI, AI-Native UI",Interactive Product Demo,Predictive Analytics,AI purple + cyan
20,NFT/Web3 Platform,"nft, web3, crypto art, digital collectible",Retro-Futurism,"Glassmorphism, Aurora UI",Feature-Rich Showcase,Real-Time Monitoring,Purple tech + gold value
